imag,real,log(imag),log(real)
0.83713,-0.54614,2.1489,-0.00047001
-0.83713,-0.54614,-2.1489,-0.00047001
0.83082,-0.55105,2.1564,-0.0030507
-0.83082,-0.55105,-2.1564,-0.0030507
0.82418,0.56119,0.973,-0.002907
-0.82418,0.56119,-0.973,-0.002907
0.51855,0.85384,0.54579,-0.0010344
-0.51855,0.85384,-0.54579,-0.0010344
0.53837,-0.84315,2.5733,0.00037184
-0.53837,-0.84315,-2.5733,0.00037184
0.53038,-0.84378,2.5804,-0.0033763
-0.53038,-0.84378,-2.5804,-0.0033763
0.83977,-0.53751,2.1402,-0.0029394
-0.83977,-0.53751,-2.1402,-0.0029394
0.84839,-0.53091,2.13,0.00081461
-0.84839,-0.53091,-2.13,0.00081461
0.83274,0.55326,0.98437,-0.00022591
-0.83274,0.55326,-0.98437,-0.00022591
0.8333,0.54691,0.98999,-0.003264
-0.8333,0.54691,-0.98999,-0.003264
0.51188,0.85748,0.53818,-0.0013501
-0.51188,0.85748,-0.53818,-0.0013501
0.4976,0.8666,0.52123,-0.00070342
-0.4976,0.8666,-0.52123,-0.00070342
0.50452,0.8609,0.53009,-0.0021589
-0.50452,0.8609,-0.53009,-0.0021589
0.84808,0.53169,1.0108,0.00096345
-0.84808,0.53169,-1.0108,0.00096345
0.54739,0.81801,0.58974,-0.01586
-0.54739,0.81801,-0.58974,-0.01586
0.8381,0.53864,0.99958,-0.0037397
-0.8381,0.53864,-0.99958,-0.0037397
0.48783,0.8714,0.51035,-0.0013422
-0.48783,0.8714,-0.51035,-0.0013422
0.47857,0.87577,0.50012,-0.0020005
-0.47857,0.87577,-0.50012,-0.0020005
0.51693,-0.85387,2.5972,-0.0018455
-0.51693,-0.85387,-2.5972,-0.0018455
0.52246,-0.85036,2.5907,-0.0019713
-0.52246,-0.85036,-2.5907,-0.0019713
0.85175,-0.52179,2.1204,-0.0011333
-0.85175,-0.52179,-2.1204,-0.0011333
0.84768,0.52445,1.0167,-0.0032045
-0.84768,0.52445,-1.0167,-0.0032045
0.46987,0.88251,0.48925,-0.00019616
-0.46987,0.88251,-0.48925,-0.00019616
0.85416,-0.51274,2.1114,-0.0037711
-0.85416,-0.51274,-2.1114,-0.0037711
0.49998,-0.86376,2.6169,-0.0019734
-0.49998,-0.86376,-2.6169,-0.0019734
0.50614,-0.85985,2.6096,-0.0022451
-0.50614,-0.85985,-2.6096,-0.0022451
0.85683,0.5131,1.0312,-0.0012905
-0.85683,0.5131,-1.0312,-0.0012905
0.46048,0.88861,0.4781,0.00083605
-0.46048,0.88861,-0.4781,0.00083605
0.47032,0.86805,0.49653,-0.012803
-0.47032,0.86805,-0.49653,-0.012803
0.8626,0.50649,1.0399,0.00030534
-0.8626,0.50649,-1.0399,0.00030534
0.45333,0.88965,0.47127,-0.0015074
-0.45333,0.88965,-0.47127,-0.0015074
0.44262,0.89474,0.4594,-0.0017692
-0.44262,0.89474,-0.4594,-0.0017692
0.43629,0.89914,0.45177,-0.00060059
-0.43629,0.89914,-0.45177,-0.00060059
0.85947,-0.50631,2.1032,-0.0024847
-0.85947,-0.50631,-2.1032,-0.0024847
0.48686,-0.87033,2.6316,-0.0027563
-0.48686,-0.87033,-2.6316,-0.0027563
0.86789,0.49647,1.0512,-0.00014012
-0.86789,0.49647,-1.0512,-0.00014012
0.49142,-0.8681,2.6265,-0.0024632
-0.49142,-0.8681,-2.6265,-0.0024632
0.42602,0.90335,0.44067,-0.0012363
-0.42602,0.90335,-0.44067,-0.0012363
0.47785,-0.8786,2.6435,0.00013532
-0.47785,-0.8786,-2.6435,0.00013532
0.861,-0.49786,2.0951,-0.0054429
-0.861,-0.49786,-2.0951,-0.0054429
0.87118,-0.48641,2.08,-0.0022319
-0.87118,-0.48641,-2.08,-0.0022319
0.86305,-0.49442,2.091,-0.005375
-0.86305,-0.49442,-2.091,-0.005375
0.8766,-0.47834,2.0703,-0.0013806
-0.8766,-0.47834,-2.0703,-0.0013806
0.87174,0.48831,1.0602,-0.00080831
-0.87174,0.48831,-1.0602,-0.00080831
0.47043,-0.87931,2.6503,-0.0027649
-0.47043,-0.87931,-2.6503,-0.0027649
0.86168,0.48993,1.0538,-0.0088214
-0.86168,0.48993,-1.0538,-0.0088214
0.41757,0.90273,0.43325,-0.0053848
-0.41757,0.90273,-0.43325,-0.0053848
0.40474,0.91512,0.41641,0.00062569
-0.40474,0.91512,-0.41641,0.00062569
0.40953,0.90568,0.42466,-0.0060529
-0.40953,0.90568,-0.42466,-0.0060529
0.81752,0.51889,1.0052,-0.032222
-0.81752,0.51889,-1.0052,-0.032222
0.39453,0.91883,0.40557,-4.84E-05
-0.39453,0.91883,-0.40557,-4.84E-05
0.37298,0.93058,0.3812,0.0025444
-0.37298,0.93058,-0.3812,0.0025444
0.38727,0.91921,0.39874,-0.0025449
-0.38727,0.91921,-0.39874,-0.0025449
0.46256,-0.8849,2.6599,-0.0014974
-0.46256,-0.8849,-2.6599,-0.0014974
0.45537,-0.88912,2.6683,-0.0010543
-0.45537,-0.88912,-2.6683,-0.0010543
0.88634,-0.46337,2.0525,0.00015784
-0.88634,-0.46337,-2.0525,0.00015784
0.87988,-0.46873,2.0603,-0.0030598
-0.87988,-0.46873,-2.0603,-0.0030598
0.88742,0.45962,1.0929,-0.00061954
-0.88742,0.45962,-1.0929,-0.00061954
0.34385,0.94188,0.35003,0.0026821
-0.34385,0.94188,-0.35003,0.0026821
0.87973,0.47142,1.0789,-0.001921
-0.87973,0.47142,-1.0789,-0.001921
0.87371,0.47303,1.0746,-0.006482
-0.87371,0.47303,-1.0746,-0.006482
0.36673,0.92091,0.37898,-0.008794
-0.36673,0.92091,-0.37898,-0.008794
0.44617,-0.89647,2.6798,0.0013618
-0.44617,-0.89647,-2.6798,0.0013618
0.88951,-0.45224,2.0412,-0.0021295
-0.88951,-0.45224,-2.0412,-0.0021295
0.3725,0.91252,0.38756,-0.01448
-0.3725,0.91252,-0.38756,-0.01448
0.4382,-0.89577,2.6866,-0.0027999
-0.4382,-0.89577,-2.6866,-0.0027999
0.35823,0.92753,0.36857,-0.0057115
-0.35823,0.92753,-0.36857,-0.0057115
0.35002,0.93501,0.3582,-0.0016213
-0.35002,0.93501,-0.3582,-0.0016213
0.33455,0.94152,0.34141,-0.00081018
-0.33455,0.94152,-0.34141,-0.00081018
0.32637,0.94628,0.33213,0.00098091
-0.32637,0.94628,-0.33213,0.00098091
0.31621,0.95132,0.3209,0.002493
-0.31621,0.95132,-0.3209,0.002493
0.29658,0.95483,0.30116,-0.00016748
-0.29658,0.95483,-0.30116,-0.00016748
0.3074,0.94735,0.31377,-0.0040306
-0.3074,0.94735,-0.31377,-0.0040306
0.43283,-0.90031,2.6935,-0.0010536
-0.43283,-0.90031,-2.6935,-0.0010536
0.89477,-0.44203,2.0296,-0.0020014
-0.89477,-0.44203,-2.0296,-0.0020014
0.88967,0.45085,1.1018,-0.0026215
-0.88967,0.45085,-1.1018,-0.0026215
0.90324,-0.43383,2.0186,0.0020246
-0.90324,-0.43383,-2.0186,0.0020246
0.90059,0.43472,1.1211,1.82E-05
-0.90059,0.43472,-1.1211,1.82E-05
0.28595,0.95398,0.29123,-0.004095
-0.28595,0.95398,-0.29123,-0.004095
0.2773,0.9624,0.28053,0.0015505
-0.2773,0.9624,-0.28053,0.0015505
0.0085411,1,0.0085408,4.98E-05
-0.0085411,1,-0.0085408,4.98E-05
0.017224,0.99999,0.017223,0.00013515
-0.017224,0.99999,-0.017223,0.00013515
0.29637,0.94105,0.3051,-0.013472
-0.29637,0.94105,-0.3051,-0.013472
0.025276,0.9993,0.025288,-0.00038491
-0.025276,0.9993,-0.025288,-0.00038491
0.035242,0.9998,0.035235,0.00041995
-0.035242,0.9998,-0.035235,0.00041995
0.040191,1.0019,0.040093,0.0027173
-0.040191,1.0019,-0.040093,0.0027173
0.42163,-0.90498,2.7056,-0.0016212
-0.42163,-0.90498,-2.7056,-0.0016212
0.89427,0.43737,1.1159,-0.0045182
-0.89427,0.43737,-1.1159,-0.0045182
0.88207,0.44054,1.1076,-0.014136
-0.88207,0.44054,-1.1076,-0.014136
0.90612,0.42525,1.132,0.00094848
-0.90612,0.42525,-1.132,0.00094848
0.9092,0.4166,1.1411,9.71E-05
-0.9092,0.4166,-1.1411,9.71E-05
0.26561,0.9618,0.26944,-0.0021965
-0.26561,0.9618,-0.26944,-0.0021965
0.25928,0.96291,0.26303,-0.0027997
-0.25928,0.96291,-0.26303,-0.0027997
0.050937,0.99907,0.05094,0.0003711
-0.050937,0.99907,-0.05094,0.0003711
0.055386,0.99855,0.055409,8.71E-05
-0.055386,0.99855,-0.055409,8.71E-05
0.066812,0.99707,0.066908,-0.00069376
-0.066812,0.99707,-0.066908,-0.00069376
0.084445,0.99924,0.084309,0.0027932
-0.084445,0.99924,-0.084309,0.0027932
0.25362,0.95948,0.25842,-0.0075987
-0.25362,0.95948,-0.25842,-0.0075987
0.074931,0.99788,0.07495,0.00068744
-0.074931,0.99788,-0.07495,0.00068744
0.24502,0.96815,0.24787,-0.0013235
