Period (days),Log of Amplitude
264.8260463,4.591217622
265.0096734,4.593061531
265.1934278,4.594905102
265.3773096,4.596748349
265.5613189,4.598591287
265.7454558,4.600433929
265.9297203,4.602276291
266.1141127,4.604118386
266.2986328,4.605960227
266.483281,4.607801829
266.6680571,4.609643205
266.8529614,4.611484368
267.0379939,4.613325331
267.2231547,4.615166106
267.4084439,4.617006707
267.5938616,4.618847145
267.7794078,4.620687432
267.9650827,4.622527581
268.1508863,4.624367603
268.3368188,4.626207509
268.5228802,4.628047309
268.7090706,4.629887016
268.8953901,4.631726639
269.0818388,4.633566188
269.2684167,4.635405673
269.4551241,4.637245104
269.6419609,4.63908449
269.8289272,4.64092384
270.0160232,4.642763162
270.203249,4.644602465
270.3906045,4.646441757
270.57809,4.648281045
270.7657054,4.650120336
270.953451,4.651959638
271.1413267,4.653798957
271.3293327,4.6556383
271.517469,4.657477672
271.7057358,4.659317078
271.8941332,4.661156524
272.0826612,4.662996015
272.2713199,4.664835555
272.4601094,4.666675148
272.6490298,4.668514798
272.8380812,4.670354507
273.0272638,4.67219428
273.2165774,4.674034118
273.4060224,4.675874023
273.5955987,4.677713997
273.7853064,4.679554041
273.9751457,4.681394157
274.1651167,4.683234345
274.3552193,4.685074604
274.5454538,4.686914934
274.7358202,4.688755335
274.9263186,4.690595806
275.116949,4.692436345
275.3077117,4.694276949
275.4986066,4.696117617
275.6896339,4.697958345
275.8807936,4.69979913
276.0720859,4.70163997
276.2635108,4.703480858
276.4550684,4.705321791
276.6467589,4.707162764
276.8385823,4.709003772
277.0305387,4.710844808
277.2226282,4.712685867
277.4148509,4.714526941
277.6072069,4.716368023
277.7996963,4.718209107
277.9923191,4.720050183
278.1850755,4.721891243
278.3779655,4.723732279
278.5709893,4.725573282
278.7641469,4.72741424
278.9574385,4.729255145
279.1508641,4.731095986
279.3444238,4.732936751
279.5381177,4.73477743
279.7319459,4.73661801
279.9259086,4.738458479
280.1200057,4.740298824
280.3142374,4.742139033
280.5086038,4.743979091
280.7031049,4.745818984
280.8977409,4.747658699
281.0925119,4.74949822
281.2874179,4.751337532
