31,32,31,30,50
34,32,37,32,77
50,60,63,73,51
38,50,55,60,35
13,15,20,19,59
13,13,18,11,26
23,14,19,19,24
41,34,37,33,38
41,50,57,53,21
42,53,58,60,68
65,66,79,77,77
32,38,33,31,26
25,32,38,32,37
43,38,41,43,54
57,58,62,49,51
28,37,31,30,41
17,17,19,16,23
22,23,21,26,33
45,45,56,55,34
77,72,61,60,45
97,106,94,76,48
53,71,66,66,56
28,36,43,42,55
23,18,21,23,22
28,31,36,36,52
45,44,48,46,56
21,33,39,41,63
19,28,33,28,36
8,15,22,15,23
17,23,29,24,31
11,9,11,7,11
12,13,13,10,16
23,21,25,22,26
36,44,47,47,21
51,76,68,65,29
33,36,44,45,41
23,31,37,35,41
8,10,11,10,8
12,9,16,16,12
23,31,25,28,17
42,40,39,40,19
16,13,19,21,9
26,28,29,28,14
41,41,48,45,31
33,29,39,37,28
35,24,31,29,48
23,32,33,37,42
26,28,33,41,30
43,50,54,66,28
36,34,40,49,18
21,21,24,26,15
25,24,31,31,16
14,17,25,31,31
20,17,24,30,31
22,27,36,43,34
33,41,50,49,37
19,17,23,25,48
10,11,18,15,15
14,12,18,21,21
22,29,37,40,43
23,35,39,47,38
19,29,38,44,52
17,14,23,21,47
17,16,28,23,18
18,19,27,18,20
22,29,38,30,33
18,21,30,24,36
11,14,21,19,29
20,23,30,24,33
26,34,38,36,40
28,37,37,38,40
10,10,15,10,6
11,11,17,13,15
16,17,23,18,28
15,18,23,22,25
47,41,43,37,40
46,56,53,59,24
12,16,21,16,11
29,23,32,30,19
20,24,29,27,26
17,24,31,27,33
14,18,23,21,34
9,10,18,15,30
27,29,43,39,34
22,25,36,33,27
20,17,31,27,33
24,35,39,40,31
19,24,28,28,35
19,25,32,33,49
13,20,25,23,56
9,12,21,20,19
14,16,31,29,24
48,48,48,56,20
49,52,60,77,40
21,33,33,26,27
22,27,36,32,28
26,30,35,36,41
24,30,38,40,38
29,44,49,56,47
8,17,18,16,14
12,28,26,25,23
13,11,17,16,11
38,40,46,45,19
34,28,38,45,46
12,19,21,23,11
5,7,8,8,20
10,10,14,14,26
15,17,23,25,27
8,7,10,10,20
9,9,13,16,21
22,28,37,36,22
11,21,27,26,40
8,9,15,12,13
6,5,7,7,6
5,5,6,6,5
6,4,8,9,7
8,7,10,15,12
11,9,16,16,21
13,8,14,10,8
7,6,11,10,11
12,6,13,13,13
26,25,34,31,31
25,31,45,39,25
18,11,22,18,24
13,9,18,14,28
13,11,12,20,50
17,16,28,23,34
26,33,45,37,44
41,41,52,54,44
25,16,27,25,34
6,4,9,8,9
42,50,59,52,54
12,14,23,22,16
12,18,30,21,29
23,22,35,31,31
21,26,40,41,32
19,21,38,32,23
29,39,49,44,37
40,43,53,40,40
58,50,64,52,43
59,55,77,62,48
39,36,55,48,48
22,19,27,24,30
6,7,10,9,18
9,9,13,12,15
15,17,24,19,16
10,12,16,14,21
28,24,31,28,17
15,13,19,18,17
16,15,21,17,19
13,12,14,11,18
20,18,23,22,19
37,26,35,37,32
50,38,48,50,48
11,16,11,7,34
30,26,33,43,29
29,28,31,28,33
26,24,33,31,41
23,23,37,33,33
21,25,38,35,39
40,44,51,51,49
70,58,75,66,45
61,61,76,68,44
62,62,84,67,56
50,59,72,60,70
38,36,57,51,51
42,33,45,41,32
